character,gender,id,name
Soldier (uncredited),0,1207287,Kai Pantano
Blast Technician (uncredited),0,1207288,Logan Pithyou
Vindum Raah (uncredited),0,1207289,Stuart Pollock
Hero (uncredited),0,584868,Raja
Ops Centreworker (uncredited),0,1207290,Gareth Ruck
Engineer (uncredited),0,1062463,Rhian Sheehan
Col. Quaritch's Mech Suit (uncredited),0,60656,T. J. Storm
Female Marine (uncredited),0,1207291,Jodie Taylor
Ikran Clan Leader (uncredited),1,1186027,Alicia Vela-Bailey
Geologist (uncredited),0,1207292,Richard Whiteside
Na'vi (uncredited),0,103259,Nikie Zambo
Ambient Room Tech / Troupe,1,42286,Julene Renee
Captain Jack Sparrow,2,85,Johnny Depp
Will Turner,2,114,Orlando Bloom
Elizabeth Swann,1,116,Keira Knightley
"William ""Bootstrap Bill"" Turner",2,1640,Stellan Skarsgård
Captain Sao Feng,2,1619,Chow Yun-fat
Captain Davy Jones,2,2440,Bill Nighy
Captain Hector Barbossa,2,118,Geoffrey Rush
Admiral James Norrington,2,1709,Jack Davenport
Joshamee Gibbs,2,2449,Kevin McNally
Lord Cutler Beckett,2,2441,Tom Hollander
Tia Dalma,1,2038,Naomie Harris
Governor Weatherby Swann,2,378,Jonathan Pryce
Captain Teague Sparrow,2,1430,Keith Richards
Pintel,2,1710,Lee Arenberg
Ragetti,2,1711,Mackenzie Crook
Lieutenant Theodore Groves,2,4031,Greg Ellis
Cotton,2,1715,David Bailie
Marty,2,4030,Martin Klebba
Ian Mercer,0,939,David Schofield
Scarlett,1,2450,Lauren Maher
Giselle,1,2452,Vanessa Branch
Mullroy,2,1714,Angus Barnett
Murtogg,0,1713,Giles New
Tai Huang,2,22075,Reggie Lee
Henry Turner,2,61259,Dominic Scott Kay
Mistress Ching,1,33500,Takayo Fischer
Lieutenant Greitzer,2,1224149,David Meunier
Hadras,2,429401,Ho-Kwan Tse
Clacker,0,1123,Andy Beckwith
Penrod,2,1056117,Peter Donald Badalamenti II
Cotton's Parrot (voice),2,21700,Christopher S. Capp
Captain Jocard,2,2603,Hakeem Kae-Kazim
Captain Ammand,0,70577,Ghassan Massoud
James Bond,2,8784,Daniel Craig
Blofeld,2,27319,Christoph Waltz
Madeleine,1,121529,Léa Seydoux
M,2,5469,Ralph Fiennes
Lucia,1,28782,Monica Bellucci
Q,2,17064,Ben Whishaw
Hinx,2,543530,Dave Bautista
C,2,125660,Andrew Scott
Tanner,2,139549,Rory Kinnear
Mr. White,2,2244,Jesper Christensen
Marco Sciarra,0,1381616,Alessandro Cremona
Estrella,1,929937,Stephanie Sigman
Mexican Man in Lift,0,87265,Tenoch Huerta
Mexican Woman in Lift,1,983710,Adriana Paz
Gallo,2,1385592,Domenico Fortunato
Gallo's Accomplice,0,1545546,Marco Zingaro
Gallo's Accomplice,2,1545547,Stefano Elfi DiClaudia
Q's Assistant,0,122556,Ian Bonar
Moneypenny's Boyfriend,2,1599239,Tam Williams
Blofeld's London Helicopter Pilot,2,1599241,Richard Banham
SC019 Police Commander,2,230681,Pip Carter
SC019 Police Officer,2,30446,Simon Lenagan
Priest,2,48377,Alessandro Bressanello
Moreau,0,578512,Marc Zinga
Vogel,0,1093974,Brigitte Millar
Abrika,2,89624,Adel Bencherif
Blofeld's Right Hand Man,2,1129783,Gediminas Adomaitis
Lorenzo,0,226388,Peppe Lanzetta
Francesco,2,1299312,Francesco Arca
Marco,2,124628,Matteo Taranto
Palazzo Security,2,1562103,Emilio Aniba
Guerra,2,1474616,Benito Sagredo
Businessman,2,1247684,Dai Tabuchi
Businessman,2,1599245,George Lasha
Businessman,0,1599247,Sargon Yelda
Businessman,2,1599251,Andy Cheung
Marshall,2,1599252,Erick Hayden
Valerian,2,1599253,Oleg Mirochnikov
Fiat Driver,2,123548,Antonio Salines
Street Sweeper,2,1599254,Miloud Mourad Benamara
Chairman,2,1599255,Gido Schimanski
Head of Nation,0,1404403,Nigel Barber
Head of Nation,2,74415,Patrice Naiambana
Head of Nation,2,1599256,Stephane Cornicard
Head of Nation,2,1599257,Gary Fannin
Head of Nation,2,1599258,Sadao Ueda
Head of Nation,0,1599259,Phillip Law
Head of Nation,2,1599260,Wai Wong
Head of Nation,2,1477143,Joseph Balderrama
Aide,2,1599261,Eiji Mihara
Aide,2,1168129,Junichi Kajioka
Clinic Barman,0,48393,Victor Schefé
Clinic Security Guard,2,1437333,Harald Windisch
Clinic Security Guard,2,1599262,Tristan Matthiae
Cable Car Heavy,2,14637,Detlef Bothe
Cable Car Heavy,2,1599263,Bodo Friesecke
Syringe Heavy,2,1599264,Wilhem Iben
Snowboarder,1,1599265,Noemi Krausz
Snowboarder,2,1599266,Noah Saavedra
Snowboarder,0,1599267,Francis Attakpah
Snowboarder,2,1599268,Michael Glantschnig
Snowboarder,2,1599269,Marlon Boess
Snowboarder,1,1599270,Marie Wohlmuth
Snowboarder,1,1599271,Lili Epply
Snowboarder,2,1599272,Konstantin Gerlach
L'Americain Manater,1,1102369,Lara Parmiani
Train Guard,2,1372694,Umit Ulgen
Train Waiter,2,1363060,Amra Mallassi
Train Barman,2,1599275,Ziad Abaza
Blofeld's Chauffeur,2,1599276,Walid Mumuni
Blofeld's Guard,0,1599277,Derek Horsham
Blofeld's Guard,2,229320,Nari Blair-Mangat
Blofeld's Butler,0,1599278,Michael White
Blofeld's Waiter,0,1599279,Adam McGrady
Blofeld's Analyst,2,1436816,Nader Dernaika
Blofeld's Chief Analyst,2,1599280,Pezhmaan Alinia
M (uncredited),1,5309,Judi Dench
Clinic Patron (uncredited),1,1186597,Neve Gachev
Businessman (uncredited),2,1654739,Karl Farrer
Lair Staff (uncredited),1,1682535,Kim Adis
Mexican Sprite (uncredited),1,1682536,Maurisa Selene Coleman
Pilot David,2,1725801,Matija Mondi Matović
Bruce Wayne / Batman,2,3894,Christian Bale
Alfred Pennyworth,2,3895,Michael Caine
James Gordon,2,64,Gary Oldman
Selina Kyle / Catwoman,1,1813,Anne Hathaway
Bane,2,2524,Tom Hardy
Miranda Tate,1,8293,Marion Cotillard
Blake,2,24045,Joseph Gordon-Levitt
Lucius Fox,2,192,Morgan Freeman
Dr. Jonathan Crane / Scarecrow,2,2037,Cillian Murphy
Jen,1,36594,Juno Temple
Ra's Al Ghul,2,3896,Liam Neeson
Deputy Commissioner Foley,2,8654,Matthew Modine
Dr. Pavel,2,16607,Alon Aboutboul
Daggett,2,77335,Ben Mendelsohn
The Mayor,2,21316,Nestor Carbonell
Young Ra's Al Ghul,0,928532,Josh Pence
Prisoner,0,71010,Tom Conti
Young Talia Al Ghul,1,125025,Joey King
Mercenary Security #1,2,211521,Warren Brown
Captain Jones,2,10582,Daniel Sunjata
Special Ops Sergeant,0,224365,Sam Kennard
Hooded Man #2,0,1334307,Aliash Tepina
Caterer,0,1334308,Nick Julian
Maid,1,1334309,Miranda Nolan
Maid,0,1172491,Claire Julien
CIA Op,2,49735,Aidan Gillen
Stryver,0,39659,Burn Gorman
Congressman,2,16841,Brett Cullen
DWP Man,2,159879,Joseph Lyle Taylor
Fr. Reilly,2,8191,Chris Ellis
SWAT in Dive Bar,2,1240417,Duane Henry
SWAT in Alley,0,1218818,James Harvey Ward
Cop in Manhole,2,84754,Gonzalo Menendez
Sewer Thug #1,2,1473276,Cameron Jack
Sewer Thug #2,2,1364324,Lex Daniel
Mark,2,1473749,Tyler Dean Flores
Doctor,2,539,Thomas Lennon
Yuppie,0,158484,Trevor White
Allen,2,10689,Rob Brown
Exchange Security Chief,2,9632,Fredric Lehne
Female Security Guard,0,1205900,Courtney Munch
Paparazzi #1,2,1403768,Chris Hill
Paparazzi #2,2,1465242,Travis Guba
Rich Twit,2,141014,Jay Benedict
Officer Simon Jansen,2,32363,Will Estes
Shoe Shine Man at GSE,2,21182,David Dayan Fisher
Trader #1,2,83271,Glen Powell
Trader #3,2,535,Russ Fega
Valet at Museum,2,1226016,Andres Perez-Molina
Veteran Cop,2,15011,Brent Briscoe
Fredericks,2,70225,John Nolan
2 Star Air Force General,2,24627,Oliver Cotton
Airport Cop,0,142290,Mark Killeen
Analyst #1,0,1377686,Sarah Goldberg
Analyst #2,2,550549,John MacMillan
Army Captain at Bridge,2,21505,Robert Wisdom
Cement Truck Driver,2,98804,Ronnie Gene Blevins
CIA Analyst,0,1386824,John Hollingworth
Cop with Gordon,2,31362,Ian Bohen
Blind Prisoner,2,145313,Uri Gavriel
Ex-Prisoner at River,2,53252,Noel Gugliemi
Gangbanger,2,24202,Hector Atreyu Ruiz
Huge Inmate,0,1301187,Patrick Cox
Kid with Apple,2,204191,Aramis Knight
Barsad,2,40039,Josh Stewart
President,2,21416,William Devane
Skinny Prisoner,2,55411,David Gyasi
Special Forces #2,2,1244314,Patrick Jordan
Mercenary at City Hall,0,1286878,Joshua Elijah Reese
Uniform,2,6365,Desmond Harrington
Bomb Truck Driver,2,1417415,Mychael Bates
Wayne's Lawyer,2,941,Tomas Arana
Applied Sciences Tech #1,0,1225911,Peter Holden
Applied Sciences Tech #2,2,100891,David Monahan
Lawyer's Clerk,1,20469,Jillian Armenante
Greeter at Museum,1,105832,Aja Evans
Valet at Wayne Enterprises,0,1355615,Aldous Davidson
Warden at Blackgate,2,51930,Wade Williams
Waiter in Florence Café,0,95577,Jake Canuso
Janitor at GSE,0,1010873,Massi Furlan
Mercenary Security #4,2,26088,Christopher Judge
Board Member #2,2,853194,Patrick Leahy
Uniform #2,0,171606,Todd Gearhart
Gotham City Police Officer (uncredited),2,1406682,Marc Abbink
Young Stock Broker (uncredited),0,1167718,Isiah Adams
Gotham City Police Officer (uncredited),1,572221,Charlie Alejandro
Former Upscaler (uncredited),2,1116933,Robert Arensen
Angry Mobster / Prisoner (uncredited),0,1524158,Grant Babbitt
Gotham Rogues Fan (uncredited),0,139188,Fileena Bahris
Mercenary (uncredited),0,1075845,Rick Bolander
Police Officer (uncredited),0,1283949,Kyle Patrick Brennan
Gotham City Police Officer (uncredited),0,1344943,Scott Churchson
Gotham Rogues Coach (uncredited),0,1240191,Bill Cowher
Pentagon Navy Petty (uncredited),0,1359461,Graham Curry
Reporter (uncredited),1,1163300,Stephanie Domini Ehlert
Older Upscale Person (uncredited),0,93752,John Farrer
Prisoner / Thug (uncredited),0,1343309,Frank Fata
Stock Broker (uncredited),0,1372419,Christopher Bryan Gomez
Thug (uncredited),0,1502323,Vito Grassi
Stockbroker in Snipers Scoop - Stock Exchange (uncredited),2,1509064,Michael Wren Gucciardo
Prisoner (uncredited),2,1525392,Sam Harris
Police Officer (uncredited),0,1365976,Ed Heavey
Gotham Police Officer / Fan (uncredited),2,1098036,John W. Iwanonkiw
Gordon's Cop #4 (uncredited),0,1354413,Cindy Jackson
Boom Operator News Crew (uncredited),0,123875,Daniel Jordano
Gothamite (uncredited),0,127060,William Kania
Gotham Rogues Fan (uncredited),0,1388256,Tiffany Kemp
Stock Broker (uncredited),0,1241239,Sun Jae Kim
Thug (uncredited),0,1378466,Hrvoje Klecz
Wall Street Broker (uncredited),0,1264686,Alex Kruz
Gotham City Police Officer (uncredited),0,1169299,Tyler La Marr
Thug (uncredited),2,1269611,LeJon
Gotham City Police Officer (uncredited),0,1446471,Paul Jude Letersky
Prisoner (uncredited),0,1188950,Joe Lipari
Tourist (uncredited),0,1383091,Silvia Lombardo
Gotham Rogues Fan (uncredited),0,1480128,Jorge Mardel
Gotham Rogues Fan (uncredited),0,1174970,Cale McConnell
Gotham City Police Officer (uncredited),0,127063,David Dale McCue
Gotham Rogues Fan (uncredited),1,1480130,Tiffany Sander McKenzie
Angry Mobster (uncredited),0,1505308,Allen Merritt
Wayne Enterprises Security (uncredited),0,1509148,Olan Montgomery
Mercenary (uncredited),0,122339,Alex Moore
Gotham City Police Officer (uncredited),0,93778,Shane Nolan
Prisoner / Thug (uncredited),0,1205749,Jackson Nunn
Gotham City News Cameraman (uncredited),0,1480150,Joseph O'Brien
Prison Guard (uncredited),2,20582,Michael Papajohn
Prisoner / Mob (uncredited),0,1298014,Salomon Passariello
Gotham Stock Trader (uncredited),0,1429650,Kyle David Pierce
Gotham Rogues Player (uncredited),0,1349600,Troy Polamalu
Gotham Police Officer (uncredited),0,1066138,Michael Power
Thug (uncredited),0,565508,James Rawlings
Doris in Black (uncredited),0,1513716,Kirsten Roeters
Gotham Rogues Player (uncredited),0,1215314,Ben Roethlisberger
Gotham Police Officer (uncredited),2,1452954,Mark Roman
Thug (uncredited),2,1451618,Anthony J. Sacco
Angry Thug (uncredited),0,1085730,Eric Salazar
Hot Football Fan (uncredited),0,557202,Emily Schooley
Gotham Rogues Owner (uncredited),0,54211,Thomas Tull
Thug (uncredited),2,1480223,Chris Vaina
Prisoner (voice) (uncredited),0,102516,Vincent van Ommen
Gotham City Press (uncredited),0,1205751,Michelle Vezzani
Gotham Rogues Fan (uncredited),0,1205623,Barbara Vincent
Gotham City Police Officer (uncredited),0,1521872,Justin Michael Woods
Mercenary Soldier (uncredited),0,306870,Jason Yee
Gotham Citizen (uncredited),1,1205141,Maria Zambrana
Gotham City Police Officer (uncredited),0,1343746,John Zion
Thug (uncredited),2,1454322,Alex Ziwak
Gotham City Police Officer (uncredited),2,1553053,Tommy Bayiokos
Football Fan (uncredited),0,1553307,Matthew Gooley
Cop (uncredited),0,1553377,Jeff Moffitt
Football Fan (uncredited),0,1574936,Mark Falvo
Thug (uncredited),0,1576421,Diogo Hausen
Prisoner (uncredited),2,1580574,Gary Sievers
Mercenary (uncredited),0,1583389,Orion McCabe
Court Room Thug (uncredited),2,1633514,London May
Gothamite (uncredited),2,1673036,James Quinn
Thug #2 in Basement,2,1536670,Daniel Newman
John Carter,2,60900,Taylor Kitsch
Dejah Thoris,1,21044,Lynn Collins
Sola,1,2206,Samantha Morton
Tars Tarkas,2,5293,Willem Dafoe
Tal Hajus,2,19159,Thomas Haden Church
Matai Shang,2,2983,Mark Strong
Tardos Mors,2,8785,Ciarán Hinds
Sab Than,2,17287,Dominic West
Kantos Kan,2,17648,James Purefoy
Powell,2,17419,Bryan Cranston
Sarkoja,1,6416,Polly Walker
Edgar Rice Burroughs,2,57675,Daryl Sabara
Stayman #1 / Helm,2,89830,Arkie Reece
Stayman #3,2,205278,Davood Ghadami
Lightmaster,1,218345,Pippa Nixon
Thern #2,2,1390394,James Embree
Thern #1,0,1518112,Philip Philmar
Pretty Woman in NYC Doorway,1,1721985,Emily Tierney
Telegraph Clerk,2,1721992,Edmund Kente
Dalton,2,118617,Nicholas Woodeson
Stable Boy,2,1722006,Kyle Agnew
Dix the Storekeeper,2,130129,Don Stark
Rowdy #1,2,65716,Josh Daugherty
Rowdy #2,2,1724736,Jared Cyr
Stockade Guard,2,62082,Christopher Goodman
Sarah Carter,1,1367241,Amanda Clayton
Apache #1 (as Joe Billingiere),0,1844319,Joseph Billingiere
Peter Parker / Spider-Man,2,2219,Tobey Maguire
Mary Jane Watson,1,205,Kirsten Dunst
Harry Osborn / New Goblin,2,17051,James Franco
Eddie Brock / Venom,2,17052,Topher Grace
Gwen Stacey,1,18997,Bryce Dallas Howard
May Parker,1,18998,Rosemary Harris
Captain Stacey,2,2505,James Cromwell
J. Jonah Jameson,2,18999,J.K. Simmons
Mrs. Marko,1,9207,Theresa Russell
Dr. Curt Connors,2,19152,Dylan Baker
Joseph Robertson,2,5502,Bill Nunn
Miss Brant,1,9281,Elizabeth Banks
Hoffman,2,11769,Ted Raimi
Penny Marko,1,6585,Perla Haney-Jardine
Ben Parker,0,19153,Cliff Robertson
Mr. Ditkovitch,2,2368,Elya Baskin
Ursula,1,20645,Mageina Tovah
Flash Thompson,2,20580,Joe Manganiello
Man in Times Square,2,7624,Stan Lee
Maître d,2,11357,Bruce Campbell
Pianist,2,19155,Christopher Young
Driver,0,7628,Grant Curtis
John Jameson,2,19154,Daniel Gillies
Houseman,0,19326,John Paxton
Mrs. Stacy,1,59206,Becky Ann Baker
Photographer,2,78311,Steve Valentine
Anchorman,0,116627,Hal Fishman
Jennifer Dugan,1,113608,Lucy Gordon
Congratulatory Woman at Daily Bugle,1,99932,Toni Wynne
Crane Disaster Radio Policeman,2,552526,Andre B. Blake
Play Director,2,1226471,Tim Maculan
Play Producer,2,159456,Marc Vann
Jazz Club Manager,2,105701,Joe Bays
Precinct Detective,2,66653,Gregg Daniel
Emergency Room Doctor,2,1451076,Rogelio T. Ramos
Crane Operator,0,11766,Timothy Patrick Quill
Woman Outside Theater,1,1781288,Kathryn Bryding
Police Detective,0,1739821,Joe Virzi
New Jersey State Policeman,0,1735986,Bill E. Rogers
New Jersey State Policeman,0,1781297,Michael Alexander
Test Site Technician,1,1435965,April Parker-Jones
Test Site Technician,0,1781298,Edward Padilla
Test Site Technician,2,233298,Robert Curtis Brown
Test Site Technician,2,60490,Paul Terrell Clayton
Test Site Technician,0,175606,Carolyn Neff
Test Site Technician,1,1656631,Christina Cindrich
ICU Nurse,0,173163,Sonya Maddox
Cop at Crane Disaster,0,1781299,Derrick 'Phoenix' Thomas
Mary Jane's Replacement,1,1781300,Jessi Collins
Boy at Key to the City Ceremony,0,1781301,Michael McLaughlin
Councilwoman,1,1781302,Anne Gartlan
Policeman at Sand Truck,2,53257,Emilio Rivera
Policeman at Sand Truck,0,92486,Keith Woulard
Armored Car Driver,2,52946,Reynaldo Gallegos
Newstand Patron,0,1781303,Jim Coope
Newstand Patron,0,98396,Dean Edwards
Newstand Patron,1,558055,Margaret Laney
Coffee Shop Waitress,1,1781304,Aimee Miles
Jazz Club Waitress,1,1781307,Tanya Bond
Jazz Club Bouncer,2,193946,Mark Kubr
Photoshoot Client,0,1446719,Tony Besson
Businessman (uncredited),0,1781308,Ramon Adams
Theater Attendee (uncredited),0,1781309,A.J. Adelman
Pedestrian (uncredited),0,1781310,Angelis Alexandris
I.C.U Nurse (uncredited),1,1781311,Dawn Marie Anderson
NYPD Officer (uncredited),2,1653331,Frank Anello
Model (uncredited),1,1781312,Anya Avaeva
Bucket Boy (uncredited),2,111243,David Backus
News Reporter (uncredited),1,1781313,Tiffany L. Baker
Photographer (uncredited),0,1781194,Marc C. Cancassi
Rescued Girl (uncredited),1,1781318,Sujeilee Candele
Photographer (uncredited),0,454223,Michael Ciesla
Jazz Club Waitress (uncredited),1,232042,Irina Costa
Theater Patron (uncredited),0,1496942,John Crann
Jazz Club Girl (uncredited),1,1209717,Crystal Marie Denha
Columbia Grad Student (uncredited),1,1781325,Amy V. Dewhurst
New York City Commuter / Driver (uncredited),2,1509622,Paul Edney
Girl at Key Ceremony (uncredited),1,1610271,Natalie Fabry
Pedestrian (uncredited),0,1781326,Keith Fausnaught
A Spidey Kid (uncredited),1,1781199,Amanda Florian
A Spidey Kid (uncredited),1,1781205,Brianna Leann Florian
A Spidey Kid (uncredited),1,1781217,Tiffany Ashley Florian
Businessman (uncredited),0,1781327,Shaun Patrick Flynn
Automobile Driver (uncredited),0,1636759,Logan Fry
Spectator (uncredited),0,1781328,Kevin Fung
News Spectator (uncredited),0,1781329,Tony Galtieri
Funeral Limo Driver (uncredited),0,1781330,Chuck Gerena
News Reporter (uncredited),0,1639432,Brian Hopson
Cop (uncredited),0,1781331,Claude Jay
Female New Yorker (uncredited),1,1781332,Julie Jei
Jazz Club Bouncer (uncredited),0,1316667,Andrew James Jones
Girl at Key Ceremony (uncredited),1,105632,Natalie Jones
Student (uncredited),0,1781333,Christopher Jude
ER Nurse (uncredited),1,1292243,Brittany Krall
Dog Walker (uncredited),1,1781334,Alyssa Lakota
Observer (uncredited),0,1752230,Tia Latrell
Businesswoman (uncredited),1,1781221,Linda Lee
Woman in Court (uncredited),1,570374,Pierangeli Llinas
British Publicist (uncredited),1,1246221,Bernadette Lords
Shocked Pedestrian (uncredited),1,1781344,Sandrine Marlier
Journalist (uncredited),1,1781345,Laura McDavid
Girl Screaming in Camaro (uncredited),1,1781346,Natalie McNeil
Kid in Times Square (uncredited),0,1781347,Daniel Mignault
Oscorp Receptionist (uncredited),1,163930,Martha Millan
Girl in Times Square (uncredited),1,1781348,Michele-Nanette Miller
Robbie's Assistant (uncredited),1,1697017,Claudia Katz Minnick
Theatergoer (uncredited),0,1781349,Robert Myers
Beautiful Girl (uncredited),1,1178562,Jen Oda
Beautiful Woman (uncredited),1,1344665,Anjelia Pelay
Police Officer (uncredited),0,118389,Nick Poltoranin
Beautiful Woman (uncredited),1,1781350,Vanessa Reseland
Beautiful Woman (uncredited),0,1781351,La Rivers
Businesswoman (uncredited),1,60127,Bria Roberts
Pedestrian (uncredited),0,1781352,Luis Rosa
Sandman Victim (uncredited),1,1422991,Vanessa Ross
Bad Girl (uncredited),1,106147,Brenna Roth
City Hall Cheerer (uncredited),0,1691382,Shade Rupe
Guy with Ticket (uncredited),0,1781353,Arick Salmea
Jazz Club Beatnik (uncredited),0,1367833,Eric Shackelford
Jazz Club Guest (uncredited),0,1781354,Daniel Shafer
Café Girl (uncredited),1,1781355,Abbey Skinner
Jazz Club Patron (uncredited),1,1781356,Kristin Somo
Jazz Club Waitress (uncredited),1,1340943,Jennifer Sparks
Firefighter (uncredited),0,211964,Christopher Stadulis
Police Officer (uncredited),0,1781358,Jimmy Star
Broadway Audience Member (uncredited),0,1778304,Arne Starr
Jazz Club Musician (uncredited),0,1781359,Liam Stone
Girl in Cab (uncredited),1,1781360,Tajna Tanovic
Model (uncredited),1,1454306,Aija Terauda
Hot Girl (uncredited),0,1781361,Brigid Turner
Beautiful Woman (uncredited),1,1781362,Evelyn Vaccaro
Bar Patron #5 (uncredited),0,1781365,Nick Vlassopoulos
Model (uncredited),1,1614425,Sincerely A. Ward
Model (uncredited),0,567242,Silq Webster
Student (uncredited),0,1781366,Graig F. Weich
Restaurant Patron (uncredited),0,1781368,Fredrick Weiss
ER Nurse (uncredited),1,1225878,Jennifer Weston
City Hall Cheerer (uncredited),0,1781371,Trenton Willey
Spectator (uncredited),2,1368459,Ray Wineteer
Flynn Rider (voice),2,69899,Zachary Levi
Rapunzel (voice),1,16855,Mandy Moore
Mother Gothel (voice),1,2517,Donna Murphy
Stabbington Brother (voice),2,2372,Ron Perlman
Captain of the Guard (voice),2,22132,M.C. Gainey
Big Nose Thug (voice),2,4175,Jeffrey Tambor
Hook Hand Thug (voice),2,18,Brad Garrett
Short Thug (voice),0,1219029,Paul F. Tompkins
Vlad (voice),0,10460,Richard Kiel
Young Rapunzel / Little Girl (voice),0,1273208,Delaney Rose Stein
Guard 1 / Thug 1 (voice),2,121830,Nathan Greno
Guard 2 / Thug 2 (voice),2,76595,Byron Howard
Guard 3 (voice),2,61958,Tim Mertens
Tony Stark / Iron Man,2,3223,Robert Downey Jr.
Thor Odinson,2,74568,Chris Hemsworth
Bruce Banner / Hulk,2,103,Mark Ruffalo
Steve Rogers / Captain America,2,16828,Chris Evans
Natasha Romanoff / Black Widow,1,1245,Scarlett Johansson
Clint Barton / Hawkeye,2,17604,Jeremy Renner
Ultron (voice),2,13548,James Spader
Nick Fury,2,2231,Samuel L. Jackson
James Rhodes / War Machine,2,1896,Don Cheadle
Pietro Maximoff / Quicksilver,2,27428,Aaron Taylor-Johnson
Wanda Maximoff / Scarlet Witch,1,550843,Elizabeth Olsen
Jarvis (voice) / Vision,2,6162,Paul Bettany
Maria Hill,1,71189,Cobie Smulders
Sam Wilson / The Falcon,2,53650,Anthony Mackie
Peggy Carter,1,39459,Hayley Atwell
Heimdall,2,17605,Idris Elba
Laura Barton,1,1817,Linda Cardellini
Dr. Helen Cho,1,1401531,Claudia Kim
Strucker,2,3491,Thomas Kretschmann
Ulysses Klaue / Klaw,2,1333,Andy Serkis
Madame B,1,1146,Julie Delpy
Dr. List,2,7030,Henry Goodman
Fortress Soldier,0,1709130,Chris Luca
Strucker Mercenary,0,1265796,Brian Schaeffer
Zrinka,1,1196961,Dominique Provost-Chalkley
Costel,0,1264233,Isaac Andrews
Sokovian Acid Student,0,1760858,Gareth Kieran Jones
Dr. Cho's Assistant,0,1760859,Chan Woo Lim
Dr. Cho's Assistant,0,1760860,Minhee Yeo
Klaue's Mercenary,2,1504934,Bentley Kalu
Ballet Instructor,2,30086,Julian Bleach
Johannesburg Cop,0,1029031,Christopher Beasley
Johannesburg Cop,0,1171654,Vuyo Dabula
Johannesburg Driver,0,1367843,Nondumiso Tembe
Johannesburg Onlooker,0,1760872,Kabelo Thai
Johannesburg Onlooker,0,1760864,Lele Leowaba
Johannesburg Onlooker,0,1760865,Mandla Gaduka
Johannesburg Onlooker,0,1760866,Harriet Manamela
Johannesburg Onlooker,0,1760867,Beulah Hashe
